,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20
Lasso_Regressor,0.019199433587371986,0.01632052877196949,0.016559403673352308,0.019776853391805606,0.018604620937729317,0.01874004840617344,0.01810925045633469,0.017248557774751355,0.0169739548818407,0.01997230390504918,0.018656897894333214,0.01702170334286907,0.018145020642919944,0.016769432561748166,0.018174636337838265,0.01775799115731592,0.018493415953316834,0.01716837645845314,0.01665514841185588,0.01845384808052271
Ridge_Regressor,0.011468493577386045,0.01114157411206122,0.011141404913164777,0.012411236545726347,0.012361475084403377,0.012996246657377258,0.011527003730410589,0.011614295723316646,0.011621969867271532,0.012314066225356026,0.01199528395950937,0.01245826891106877,0.012667803141689676,0.010868051238225743,0.011877240776616565,0.01173884652812655,0.012078773400643512,0.010500975517396748,0.010780784630605361,0.0121303467275215
Elastic_Net_Regressor,0.019199433587371986,0.01632052877196949,0.016559403673352308,0.019776853391805606,0.018604620937729317,0.01874004840617344,0.01810925045633469,0.017248557774751355,0.0169739548818407,0.01997230390504918,0.018656897894333214,0.01702170334286907,0.018145020642919944,0.016769432561748166,0.018174636337838265,0.01775799115731592,0.018493415953316834,0.01716837645845314,0.01665514841185588,0.01845384808052271
Support_Vector_Regressor,0.010667101843509455,0.010171666900935522,0.010654054094596669,0.01111770841858445,0.010604181915497002,0.012517796618586078,0.010824149785993898,0.011046432040188696,0.010341341921045442,0.012412256187171726,0.010189278749014846,0.011649796406703281,0.011570828061840984,0.010215440057550502,0.011435999118593249,0.010170336030731097,0.010986638622309638,0.008790633969375489,0.009720384706664803,0.010550639483757916
Decision_Tree_Regressor,0.007282641198050869,0.007142532557116451,0.008489834126828136,0.008394008429717395,0.008297257923292119,0.007329083834910747,0.006911459375225127,0.007532149963790975,0.007638862344337395,0.007532094531521667,0.008285010492473474,0.007775228660083897,0.007993388113350219,0.006999677900954282,0.007844630123476942,0.007538539685305759,0.008363110192748373,0.006188298650654547,0.008384101183904912,0.006535031886547813
Random_Forrests_Regressor,0.007656280989400935,0.007402234303505566,0.007611583676876791,0.007617817286709156,0.008205692367128722,0.00753285061473404,0.007070877408707307,0.0075003666922942,0.007603048387068432,0.008152602528316077,0.008624053937215615,0.008425509531676851,0.007664469217609144,0.007634463125778819,0.008349386569981711,0.0070953987548059575,0.0073760494082405195,0.006478903941846063,0.007868481080649841,0.007232519499175141
