,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20,Test
MSE,6.1133575439453125,7.3139448165893555,9.638522148132324,8.677196502685547,7.945218563079834,7.501666069030762,8.444725036621094,7.7856926918029785,5.788853645324707,21.090017318725586,10.242048263549805,7.1533966064453125,6.62449836730957,7.012625694274902,8.323240280151367,6.4513444900512695,8.504441261291504,7.060046195983887,7.443864345550537,6.125840187072754,8.52092170715332
R2,0.9981528520584106,0.9980607032775879,0.9976224303245544,0.9975408911705017,0.9974942803382874,0.9979413151741028,0.9975801110267639,0.9974202513694763,0.9983178377151489,0.9940236806869507,0.9969577789306641,0.9979373216629028,0.9979597926139832,0.9974403381347656,0.9975601434707642,0.9980960488319397,0.9974033832550049,0.9979619979858398,0.9975395798683167,0.998297929763794,0.9975883960723877
MAE,1.983022689819336,2.105790853500366,2.4100570678710938,2.39434552192688,2.2087562084198,2.1744232177734375,2.3155736923217773,2.1654040813446045,1.9719610214233398,2.192429304122925,2.2725448608398438,2.2142937183380127,1.9917844533920288,2.1535823345184326,2.3769099712371826,2.0931739807128906,2.1736676692962646,2.0913074016571045,2.0412702560424805,1.9748092889785767,2.1793315410614014
MAPE,0.008237777277827263,0.008441020734608173,0.00945641566067934,0.009463630616664886,0.008862290531396866,0.008722975850105286,0.009460325352847576,0.008675568737089634,0.008045099675655365,0.009785100817680359,0.00931741762906313,0.00881300587207079,0.00823755282908678,0.008684523403644562,0.009313959628343582,0.008459419943392277,0.00883658416569233,0.008293183520436287,0.008267772383987904,0.007799454033374786,0.008773484267294407
