,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20
Lasso_Regressor,4.759575833645822,4.1185308618959375,4.037554260912328,4.88062842299496,4.499813682370373,4.873121790065033,4.590083093714801,4.279749383705029,4.234738734566632,5.057152926449653,4.645806067131496,4.172493324523858,4.424835168062768,4.04851670827111,4.48405272682348,4.342422100303885,4.485177469514911,4.474347625225737,4.1535397168243415,4.626231822928589
Ridge_Regressor,2.895155216362763,2.823263572530469,2.6737405275531154,2.9519542793769302,2.9401847652641364,3.4069822555498086,2.90782912562897,2.9004047725240287,2.8613033626089788,3.128899685772949,2.956204278917526,2.9945676296326242,3.027137785767743,2.6114194683646574,3.024511745188586,2.775186169622494,2.9507810605803146,2.7490011888199564,2.6760372068922686,3.0215877594564358
Elastic_Net_Regressor,4.759575833645822,4.1185308618959375,4.037554260912328,4.88062842299496,4.499813682370373,4.873121790065033,4.590083093714801,4.279749383705029,4.234738734566632,5.057152926449653,4.645806067131496,4.172493324523858,4.424835168062768,4.04851670827111,4.48405272682348,4.342422100303885,4.485177469514911,4.474347625225737,4.1535397168243415,4.626231822928589
Support_Vector_Regressor,2.7349474166680965,2.6292284225678593,2.577468159881202,2.626920859590147,2.6785450603555665,3.3098527294042235,2.705408359390971,2.7488573503518214,2.6349227568086486,3.164821561829035,2.5225999864455906,2.8084920154497235,2.8323182166342855,2.490366525869542,2.967561661983686,2.5539088936752776,2.718132521671139,2.2551191351952196,2.4303428522992085,2.649517630180011
Decision_Tree_Regressor,1.7998325918612696,1.7782803085948748,2.0511375007165107,1.9851733234440883,2.090387355905575,1.8202686196520392,1.6976572183892755,1.7978283593703008,1.861809544702896,1.8753847042513336,1.8290722237388508,1.8356066337241497,1.9674433918965428,1.6760252622748089,1.9450974472338465,1.8123410601121093,2.0005243610752084,1.5714750839188973,2.030719303706971,1.6122544355606148
Random_Forrests_Regressor,1.8979774153296,1.8510587191038779,1.8402905784130588,1.87790677744791,2.0596132554083266,1.8689166394377361,1.7599211319878427,1.7736126584615592,1.898128337352185,2.0181763251730493,1.9082250703278294,2.020146317202707,1.8999505652975648,1.8125881734353728,2.0324225648177503,1.7011423823329719,1.8141218301362352,1.6572411694722524,1.8975804302657653,1.829673695978019
