Metric,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Fold_11,Fold_12,Fold_13,Fold_14,Fold_15,Fold_16,Fold_17,Fold_18,Fold_19,Fold_20,Test
MSE,0.006122088213204735,0.0022513977685643346,0.0013071323158937236,0.002917109546869796,0.003123757772886278,0.0016957107168367874,0.0018324225878689295,0.0017231391899586524,0.002208285045469913,0.0012776546936314013,0.004312178578020991,0.0019354985409460149,0.0025597088894211144,0.0024313601450299013,0.0015828299561448694,0.0016810286899958471,0.0025642312863340525,0.0014562931618312238,0.005105955996706629,0.0017338557580091325,8.491579701151556
R2,0.9946206112262386,0.9984100797511904,0.9988816550387919,0.997059689114291,0.9967469737412354,0.998283347621485,0.9982852381039212,0.9984635571404306,0.9972478924024976,0.9986221778432899,0.9945344555066402,0.9981482049732906,0.9972445659462893,0.99765293939121,0.9984687973460986,0.9985717264718005,0.9976563176120141,0.9980688850828093,0.993174312032348,0.9982589615233421,0.9975573530233912
MAE,0.042194954106188516,0.032778866954989064,0.02776381516792581,0.036215823100678016,0.038674706811954104,0.026659919313867773,0.030312105150745238,0.030442960437772892,0.03290159185620428,0.02614595899088027,0.03683974206210458,0.030354030411583483,0.035792053256485754,0.031354520667989036,0.029417598974612578,0.029806839611859617,0.03102860950619392,0.02835518324486549,0.037034120572216604,0.03057775150541726,1.8821326972482313
MAPE,3.1555451888812245,0.11197694704676078,0.5331114013026589,8.472747011103618,2.6902909067117817,1.7089832293282192,3.659107029275673,0.10729179211655286,0.16332942678023782,0.07994151468549891,0.5387567657609816,0.16218439431617784,0.10757424482880597,0.11581085501836341,0.11977674431785856,0.08209430239292385,0.5396626527984604,0.13963614194604484,4.2681705195691055,0.07772595618240971,0.007529604673546283
