,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20
Lasso_Regressor,0.9814658376500613,0.9885614156652065,0.9866380499570915,0.9823146732337542,0.9850100631954909,0.9838124856691833,0.9834586557123737,0.9869421441954985,0.9867232709366143,0.9807553966583503,0.984276433707414,0.9860153581499922,0.9847572824917057,0.9896937549928528,0.9875068755480028,0.9874885871961706,0.9824728252178608,0.9861892150511076,0.9888023658899008,0.986087086625257
Ridge_Regressor,0.9933201454651354,0.9939805737966426,0.9927227211208768,0.9936434155254199,0.993114103971845,0.9895398902937662,0.9923230109494109,0.9926234589800778,0.9948409588213036,0.9906438882633448,0.9941129190539578,0.9917190875070484,0.9923226107805142,0.9957001056788821,0.9933611244743411,0.9950692959189962,0.991460757974092,0.9953876278759319,0.9945681836385128,0.9932992283594835
Elastic_Net_Regressor,0.9814658376500613,0.9885614156652065,0.9866380499570915,0.9823146732337542,0.9850100631954909,0.9838124856691833,0.9834586557123737,0.9869421441954985,0.9867232709366143,0.9807553966583503,0.984276433707414,0.9860153581499922,0.9847572824917057,0.9896937549928528,0.9875068755480028,0.9874885871961706,0.9824728252178608,0.9861892150511076,0.9888023658899008,0.986087086625257
Support_Vector_Regressor,0.9921625007898055,0.9925145934643382,0.9899644594857685,0.9931283495121224,0.9919403931980819,0.98523237784115,0.9904617313285883,0.9901835680613609,0.9940657041964939,0.9873836143233454,0.9947881801054247,0.9907055692736304,0.9911410930060468,0.9948114301202515,0.9915091254551783,0.9939760550116652,0.989120975976113,0.996505984411433,0.993188715842901,0.9930259124114436
Decision_Tree_Regressor,0.9958846016083001,0.9971419377918161,0.9941082326869302,0.9927317605518927,0.9927553660886272,0.9971320941870121,0.9975455365078042,0.9971934980901501,0.9957866975197568,0.9971696552088696,0.9931691253055716,0.9954918166293685,0.9958666674837593,0.9980486801436175,0.9962412491600364,0.9954548744962116,0.9932518406401967,0.9979202183760272,0.9960833813826693,0.9983023656997507
Random_Forrests_Regressor,0.9973036132251794,0.9969475625078167,0.9973647295229788,0.9965846731493183,0.9956698516040031,0.997885809298273,0.9976718972712382,0.9979386009849279,0.9969256457812655,0.9971849639854062,0.9929157879284685,0.9960733959845307,0.997091381395557,0.9981593446672585,0.9968525584144436,0.9978954103835485,0.9968594569069733,0.9980912384366363,0.9974134478603979,0.9978799304823553
