Metric,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Fold_11,Fold_12,Fold_13,Fold_14,Fold_15,Fold_16,Fold_17,Fold_18,Fold_19,Fold_20,Test
MSE,67250.69161186737,67595.39983028009,68210.45039594902,65163.37143906777,67524.02505468293,66905.03051595298,68870.54440480155,64346.74880433134,59497.20651028848,65136.1166723254,63520.46193818762,65374.06074941529,70756.39320206014,62724.84284772977,61756.9416140587,67451.86395418225,67837.79004711051,57868.676043308915,63851.2817814013,66333.33509214918,0.13819970809867768
R2,-16.33135386236647,-13.000470655980426,-16.11628605831779,-18.26399887970498,-19.623906295008286,-18.865145625288882,-17.90227551793696,-15.827711100948818,-20.747494941064012,-19.601740753725053,-22.61308494108986,-17.344585899205935,-21.339194877272075,-16.758937482601013,-16.522117074447607,-15.808641019421753,-17.185097691511007,-21.506358898122564,-24.034641023951487,-18.535729017394125,0.864457043180263
MAE,251.9348025096645,250.79098683147566,253.636446075587,248.7511858923642,253.63477156571417,252.25261398236938,255.58651878223415,246.2161678685177,238.4116646449364,249.12907939790813,246.8082030999903,248.8031570921877,260.1531502127867,243.48062137778444,241.51952983857163,252.07669583559348,253.39234275739776,235.30135290607464,247.74359334709237,251.06382726287637,0.2642326910544854
MAPE,1.0008427353338647,1.0009858496704347,1.0007174641057794,1.0008509337023073,1.0005406945039226,1.000917653737161,1.0006356393148788,1.001280570307324,1.0013293821704896,1.0008510365619552,1.0007114980126819,1.0009102209846967,1.0002311923204736,1.0013105435383225,1.0013253596552991,1.000963889257804,1.0007082122661277,1.0016892221816096,1.000884925735852,1.0004845990782432,4.557978345180697
