,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20
Lasso_Regressor,62.93110312384661,40.32664852074238,39.77815179098235,61.801784544708056,47.80940155396595,62.71070377057059,51.66520559823273,42.60038181276609,44.571740796863544,70.24336300499691,53.78514944242379,40.81478105759582,49.57552722271345,35.602882341695434,43.058545624091614,46.459456046283954,55.6310151019026,48.103888398966724,38.36874005033206,53.99548778893035
Ridge_Regressor,22.680853153703463,21.22144469057859,21.664255812174808,22.213231869033223,21.962105148428087,40.52264157360639,23.978294071949698,24.06547205077009,17.31958565090745,34.15008048572465,20.137767893777735,24.168200657691003,24.969997511459,14.853967811780421,22.881411756732174,18.309509335229986,27.10343840389917,16.065200836283136,18.612141451118905,26.005439949675864
Elastic_Net_Regressor,62.93110312384661,40.32664852074238,39.77815179098235,61.801784544708056,47.80940155396595,62.71070377057059,51.66520559823273,42.60038181276609,44.571740796863544,70.24336300499691,53.78514944242379,40.81478105759582,49.57552722271345,35.602882341695434,43.058545624091614,46.459456046283954,55.6310151019026,48.103888398966724,38.36874005033206,53.99548778893035
Support_Vector_Regressor,26.61153289355142,26.38974802854836,29.87552360229875,24.013141997969488,25.70557721391235,57.21001752791229,29.791811559614374,32.02545309781226,19.92221827401969,46.05017537453315,17.827921902737145,27.126197382849533,28.812774664572164,17.923893990706063,29.26447346149622,22.36911304893645,34.52987473962718,12.169890166174365,23.338893614765336,27.066168751574534
Decision_Tree_Regressor,13.973469946681536,10.076078188212868,17.539626607182342,25.399031317227188,23.106275649948664,11.11031553113761,7.6662669461825566,9.1560249023923,14.144615375640829,10.330840966849212,23.366175931445348,13.157327818139278,13.443281263194269,6.740826674470209,12.954833288824856,16.877714921489112,21.418566307549746,7.244018606041158,13.420310051845599,6.588454169173978
Random_Forrests_Regressor,9.155341956340251,10.761346883144213,7.845126550287851,11.934938888346723,13.81071889443858,8.190410467040893,7.271591960350211,6.725176508707901,10.321014965431196,10.274963486376471,24.23275978610581,11.459963359102144,9.460012673369542,6.358536518175534,10.847907393508363,7.815111715526693,9.968041193631406,6.6483442877482,8.862831710273097,8.227909185395726
