,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Lasso_Regressor,4.7735699500504145,4.1371588433395265,4.067111023417151,4.884226074806091,4.509667166404305,4.891399022959652,4.603089124055541,4.295061800545737,4.248433426516124,5.076126143606947,4.677758221267993,4.182443505082645,4.43949042538834,4.091482612835364,4.490586290658557,4.353670075720283,4.51103767563838,4.499680912583351,4.157599323006873,4.647981789127336
Ridge_Regressor,2.89791090650971,2.8937532154807157,2.8578245866666196,3.001965691202229,2.999308415885372,3.5319455259608694,2.9808752850501437,2.99931087955183,2.967209150670259,3.2397758038249056,2.960768261941046,3.029589871121892,3.0639087021355147,2.7280330976379,2.951020479058528,2.8973037020249857,2.9741828552203553,2.8815918198672783,2.759233977137934,3.054545253005482
Elastic_Net_Regressor,4.7735699500504145,4.1371588433395265,4.067111023417151,4.884226074806091,4.509667166404305,4.891399022959652,4.603089124055541,4.295061800545737,4.248433426516124,5.076126143606947,4.677758221267993,4.182443505082645,4.43949042538834,4.091482612835364,4.490586290658557,4.353670075720283,4.51103767563838,4.499680912583351,4.157599323006873,4.647981789127336
Support_Vector_Regressor,2.6818890064707173,2.622240209191447,2.642489003255432,2.6153263801784408,2.699054459890193,3.3450808352485577,2.7325986391125046,2.7647866846971305,2.6315514216083824,3.183561115321535,2.5058600255030568,2.8014064097536155,2.842407330821418,2.4229266200574235,2.786486275182467,2.530367505196406,2.747086523742232,2.3343627401976255,2.4681755047377587,2.6962263666554174
Decision_Tree_Regressor,3.347962792235419,2.950859128717008,3.23975967185135,3.5645896387202294,3.200041136594025,2.8700925537428654,2.9575200391372665,3.197060276499001,3.1573807653695476,3.323454882624261,3.2216223305034735,3.145695286164475,3.250916471439106,2.914195373441877,3.165247916928232,2.972912147795608,3.1056944170212706,2.7761244665197085,2.9578672765571854,3.0062423188913123
Random_Forrests_Regressor,3.373005045837257,2.835152694429277,2.664854016074251,3.1484364203523185,3.2149374123211496,2.629779434346796,2.811495593351283,2.621821497115763,2.9060389164285354,3.307079942266891,3.2342515858394947,2.907114075275244,2.9988448842638658,2.7043250434684802,2.9092757686676354,2.827365596982528,2.950747826864651,2.74470829433557,2.853872583959537,2.8627931688520625
